code,best_description,sources_available
B1270,Servo Motor Potentiometer Defrost Circuit Short To Battery,"fieldlogix,gist"
B1271,Servo Motor Potentiometer Defrost Circuit Short To Ground,"fieldlogix,gist"
B1272,Servo Motor Potentiometer Vent Circuit Failure,"fieldlogix,gist"
B1273,Servo Motor Potentiometer Vent Circuit Open,"fieldlogix,gist"
B1274,Servo Motor Potentiometer Vent Circuit Short To Battery,"fieldlogix,gist"
B1275,Servo Motor Potentiometer Vent Circuit Short To Ground,"fieldlogix,gist"
B1276,Servo Motor Potentiometer Foot Circuit Failure,"fieldlogix,gist"
B1277,Servo Motor Potentiometer Foot Circuit Open,"fieldlogix,gist"
B1278,Servo Motor Potentiometer Foot Circuit Short To Battery,"fieldlogix,gist"
B1279,Servo Motor Potentiometer Foot Circuit Short To Ground,"fieldlogix,gist"
B1280,Servo Motor Potentiometer Coolair Circuit Failure,"fieldlogix,gist"
B1281,Servo Motor Potentiometer Coolair Circuit Open,"fieldlogix,gist"
B1282,Servo Motor Potentiometer Coolair Circuit Short To Battery,"fieldlogix,gist"
B1283,Servo Motor Potentiometer Coolair Circuit Short To Ground,"fieldlogix,gist"
B1284,Servo Motor Potentiometer Airintake Left Circuit Failure,"fieldlogix,gist"
B1285,Servo Motor Potentiometer Airintake Left Circuit Open,"fieldlogix,gist"
B1286,Servo Motor Potentiometer Airintake Left Circuit Short To Battery,"fieldlogix,gist"
B1287,Servo Motor Potentiometer Airintake Left Circuit Short To Ground,"fieldlogix,gist"
B1288,Servo Motor Potentiometer Airintake Right Circuit Failure,"fieldlogix,gist"
B1289,Servo Motor Potentiometer Airintake Right Circuit Open,"fieldlogix,gist"
B1290,Servo Motor Potentiometer Airintake Right Circuit Short To Battery,"fieldlogix,gist"
B1291,Servo Motor Potentiometer Airintake Right Circuit Short To Ground,"fieldlogix,gist"
B1292,Battery Power Relay Circuit Failure,"fieldlogix,gist"
B1293,Battery Power Relay Circuit Open,"fieldlogix,gist"
B1294,Battery Power Relay Circuit Short To Battery,"fieldlogix,gist"
B1295,Battery Power Relay Circuit Short To Ground,"fieldlogix,gist"
B1296,Power Supply Sensor Circuit Failure,"fieldlogix,gist"
B1297,Power Supply Sensor Circuit Open,"fieldlogix,gist"
B1298,Power Supply Sensor Circuit Short To Battery,"fieldlogix,gist"
B1299,Power Supply Sensor Circuit Short To Ground,"fieldlogix,gist"
B1300,Power Door Lock Circuit Failure,"fieldlogix,gist"
B1301,Power Door Lock Circuit Open,"fieldlogix,gist"
B1302,Accessory Delay Relay Coil Circuit Failure,"fieldlogix,gist"
B1303,Accessory Delay Relay Coil Circuit Open,"fieldlogix,gist"
B1304,Accessory Delay Relay Coil Circuit Short To Battery,"fieldlogix,gist"
B1305,Accessory Delay Relay Coil Circuit Short To Ground,"fieldlogix,gist"
B1306,Oil Level Switch Circuit Open,"fieldlogix,gist"
B1307,Oil Level Switch Circuit Short To Battery,"fieldlogix,gist"
B1308,Oil Level Switch Circuit Short To Ground,"fieldlogix,gist"
B1309,Power Door Lock Circuit Short To Ground,"fieldlogix,gist"
B1310,Power Door Unlock Circuit Failure,"fieldlogix,gist"
B1311,Power Door Unlock Circuit Open,"fieldlogix,gist"
B1312,Lamp Headlamp Input Circuit Short To Battery,"fieldlogix,gist"
B1313,Battery Saver Relay Coil Circuit Failure,"fieldlogix,gist"
B1314,Battery Saver Relay Coil Circuit Open,"fieldlogix,gist"
B1315,Battery Saver Relay Coil Circuit Short To Battery,"fieldlogix,gist"
B1316,Battery Saver Relay Coil Circuit Short To Ground,"fieldlogix,gist"
B1317,Battery Voltage High,"fieldlogix,gist"
B1318,Battery Voltage Low,"fieldlogix,gist"
B1319,Driver Door Ajar Circuit Failure,"fieldlogix,gist"
B1320,Driver Door Ajar Circuit Open,"fieldlogix,gist"
B1321,Driver Door Ajar Circuit Short To Battery,"fieldlogix,gist"
B1322,Driver Door Ajar Circuit Short To Ground,"fieldlogix,gist"
B1323,Door Ajar Lamp Circuit Failure,"fieldlogix,gist"
B1324,Door Ajar Lamp Circuit Open,"fieldlogix,gist"
B1325,Door Ajar Lamp Circuit Short To Battery,"fieldlogix,gist"
B1326,Door Ajar Lamp Circuit Short To Ground,"fieldlogix,gist"
B1327,Passenger Door Ajar Circuit Failure,"fieldlogix,gist"
B1328,Passenger Door Ajar Circuit Open,"fieldlogix,gist"
B1329,Passenger Door Ajar Circuit Short To Battery,"fieldlogix,gist"
B1330,Passenger Door Ajar Circuit Short To Ground,"fieldlogix,gist"
B1331,Decklid Ajar Rear Door Circuit Failure,"fieldlogix,gist"
B1332,Decklid Ajar Rear Door Circuit Open,"fieldlogix,gist"
B1333,Decklid Ajar Rear Door Circuit Short To Battery,"fieldlogix,gist"
B1334,Decklid Ajar Rear Door Circuit Short To Ground,"fieldlogix,gist"
B1335,Door Ajar RR Circuit Failure,"fieldlogix,gist"
B1336,Door Ajar RR Circuit Open,"fieldlogix,gist"
B1337,Door Ajar RR Circuit Short To Battery,"fieldlogix,gist"
B1338,Door Ajar RR Circuit Short To Ground,"fieldlogix,gist"
B1339,Chime Input Request Circuit Short To Battery,"fieldlogix,gist"
B1340,Chime Input Request Circuit Short To Ground,"fieldlogix,gist"
B1341,Power Door Unlock Circuit Short To Ground,"fieldlogix,gist"
B1342,ECU Is Defective,"fieldlogix,gist"
B1343,Heated Backlite Input Circuit Failure,"fieldlogix,gist"
B1344,Heated Backlite Input Circuit Open,"fieldlogix,gist"
B1345,Heated Backlite Input Circuit Short To Ground,"fieldlogix,gist"
B1346,Heated Backlite Input Circuit Short To Battery,"fieldlogix,gist"
B1347,Heated Backlite Relay Circuit Failure,"fieldlogix,gist"
B1348,Heated Backlite Relay Circuit Open,"fieldlogix,gist"
B1349,Heated Backlite Relay Short To Battery,"fieldlogix,gist"
B1350,Heated Backlite Relay Short To Ground,"fieldlogix,gist"
B1351,Ignition Key-In Circuit Short To Battery,"fieldlogix,gist"
B1352,Ignition Key-In Circuit Failure,"fieldlogix,gist"
B1353,Ignition Key-In Circuit Open,"fieldlogix,gist"
B1354,Ignition Key-In Circuit Short To Ground,"fieldlogix,gist"
B1355,Ignition Run Circuit Failure,"fieldlogix,gist"
B1356,Ignition Run Circuit Open,"fieldlogix,gist"
B1357,Ignition Run Circuit Short To Battery,"fieldlogix,gist"
B1358,Ignition Run Circuit Short To Ground,"fieldlogix,gist"
B1359,Ignition Run/Acc Circuit Failure,"fieldlogix,gist"
B1360,Ignition Run/Acc Circuit Open,"fieldlogix,gist"
B1361,Ignition Run/Acc Circuit Short To Battery,"fieldlogix,gist"
B1362,Ignition Run/Acc Circuit Short To Ground,"fieldlogix,gist"
B1363,Ignition Start Circuit Failure,"fieldlogix,gist"
B1364,Ignition Start Circuit Open,"fieldlogix,gist"
B1365,Ignition Start Circuit Short To Battery,"fieldlogix,gist"
B1366,Ignition Start Circuit Short To Ground,"fieldlogix,gist"
B1367,Ignition Tach Circuit Failure,"fieldlogix,gist"
B1368,Ignition Tach Circuit Open,"fieldlogix,gist"
B1369,Ignition Tach Circuit Short To Battery,"fieldlogix,gist"
B1370,Ignition Tach Circuit Short To Ground,"fieldlogix,gist"
B1371,Illuminated Entry Relay Circuit Failure,"fieldlogix,gist"
B1372,Illuminated Entry Relay Circuit Open,"fieldlogix,gist"
B1373,Illuminated Entry Relay Short To Battery,"fieldlogix,gist"
B1374,Illuminated Entry Relay Short To Ground,"fieldlogix,gist"
B1375,Oil Change Lamp Circuit Open,"fieldlogix,gist"
B1376,Oil Change Lamp Circuit Short To Battery,"fieldlogix,gist"
B1377,Oil Change Lamp Circuit Failure,"fieldlogix,gist"
B1378,Oil Change Lamp Circuit Short To Ground,"fieldlogix,gist"
B1379,Oil Change Reset Button Circuit Short To Ground,"fieldlogix,gist"
B1380,Oil Change Reset Button Circuit Failure,"fieldlogix,gist"
B1381,Oil Change Reset Button Circuit Open,"fieldlogix,gist"
B1382,Oil Change Reset Button Circuit Short To Battery,"fieldlogix,gist"
B1383,Oil Level Lamp Circuit Short To Battery,"fieldlogix,gist"
B1384,Oil Level Lamp Circuit Failure,"fieldlogix,gist"
B1385,Oil Level Lamp Circuit Open,"fieldlogix,gist"
B1386,Oil Level Lamp Circuit Short To Ground,"fieldlogix,gist"
B1387,Oil Temperature Sensor Circuit Open,"fieldlogix,gist"
B1388,Oil Temperature Sensor Circuit Short To Battery,"fieldlogix,gist"
B1389,Oil Temperature Sensor Circuit Failure,"fieldlogix,gist"
B1390,Oil Temperature Sensor Circuit Short To Ground,"fieldlogix,gist"
B1391,Oil Level Switch Circuit Failure,"fieldlogix,gist"
B1392,Power Door Memory Lock Relay Circuit Failure,"fieldlogix,gist"
B1393,Power Door Memory Lock Relay Circuit Open,"fieldlogix,gist"
B1394,Power Door Memory Lock Relay Circuit Short To Battery,"fieldlogix,gist"
B1395,Power Door Memory Lock Relay Circuit Short To Ground,"fieldlogix,gist"
B1396,Power Door Lock Circuit Short To Battery,"fieldlogix,gist"
B1397,Power Door Unlock Circuit Short To Battery,"fieldlogix,gist"
B1398,Driver Power Window One Touch Window Relay Circuit Failure,"fieldlogix,gist"
B1399,Driver Power Window One Touch Window Relay Circuit Open,"fieldlogix,gist"
B1400,Driver Power Window One Touch Window Relay Circuit Short To Battery,"fieldlogix,gist"
B1401,Driver Power Window One Touch Window Relay Circuit Short To Ground,"fieldlogix,gist"
B1402,Driver Power Window Down Switch Circuit Failure,"fieldlogix,gist"
B1403,Driver Power Window Up Switch Circuit Failure,"fieldlogix,gist"
B1404,Driver Power Window Down Circuit Open,"fieldlogix,gist"
B1405,Driver Power Window Down Circuit Short To Battery,"fieldlogix,gist"
B1406,Driver Power Window Down Circuit Short To Ground,"fieldlogix,gist"
B1407,Driver Power Window Up Circuit Open,"fieldlogix,gist"
B1408,Driver Power Window Up Circuit Short To Battery,"fieldlogix,gist"
B1409,Driver Power Window Up Circuit Short To Ground,"fieldlogix,gist"
B1410,Driver Power Window Motor Circuit Failure,"fieldlogix,gist"
B1411,Driver Power Window Motor Circuit Open,"fieldlogix,gist"
B1412,Driver Power Window Motor Circuit Short To Battery,"fieldlogix,gist"
B1413,Driver Power Window Motor Circuit Short To Ground,"fieldlogix,gist"
B1414,Power Window LR Motor Circuit Failure,"fieldlogix,gist"
B1415,Power Window LR Motor Circuit Open,"fieldlogix,gist"
B1416,Power Window LR Motor Circuit Short To Battery,"fieldlogix,gist"
B1417,Power Window LR Motor Circuit Short To Ground,"fieldlogix,gist"
B1418,Passenger Power Window Motor Circuit Failure,"fieldlogix,gist"
B1419,Passenger Power Window Motor Circuit Open,"fieldlogix,gist"
B1420,Passenger Power Window Motor Circuit Short To Battery,"fieldlogix,gist"
B1421,Passenger Power Window Motor Circuit Short To Ground,"fieldlogix,gist"
B1422,Power Window RR Motor Circuit Failure,"fieldlogix,gist"
B1423,Power Window RR Motor Circuit Open,"fieldlogix,gist"
B1424,Power Window RR Motor Circuit Short To Battery,"fieldlogix,gist"
B1425,Power Window RR Motor Circuit Short To Ground,"fieldlogix,gist"
B1426,Lamp Seat Belt Circuit Short To Battery,"fieldlogix,gist"
B1427,Lamp Seat Belt Circuit Open,"fieldlogix,gist"
B1428,Lamp Seat Belt Circuit Failure,"fieldlogix,gist"
B1429,Lamp Seat Belt Circuit Short To Ground,"fieldlogix,gist"
B1430,Seat Belt Switch Circuit Short To Ground,"fieldlogix,gist"
B1431,Wiper Brake/Run Relay Circuit Failure,"fieldlogix,gist"
B1432,Wiper Brake/Run Relay Circuit Short To Battery,"fieldlogix,gist"
B1433,Wiper Brake/Run Relay Circuit Short To Ground,"fieldlogix,gist"
B1434,Wiper Hi/Low Speed Relay Coil Circuit Failure,"fieldlogix,gist"
B1435,Wiper Hi/Low Speed Relay Coil Circuit Open,"fieldlogix,gist"
B1436,Wiper Hi/Low Speed Relay Coil Circuit Short To Battery,"fieldlogix,gist"
B1437,Wiper Hi/Low Speed Relay Coil Circuit Short To Ground,"fieldlogix,gist"
B1438,Wiper Mode Select Switch Circuit Failure,"fieldlogix,gist"
B1439,Wiper Mode Select Switch Circuit Open,"fieldlogix,gist"
B1440,Wiper Mode Select Switch Circuit Short To Battery,"fieldlogix,gist"
B1441,Wiper Mode Select Switch Circuit Short To Ground,"fieldlogix,gist"
B1442,Door Handle Switch Circuit Failure,"fieldlogix,gist"
B1443,Door Handle Switch Circuit Open,"fieldlogix,gist"
B1444,Door Handle Switch Circuit Short To Battery,"fieldlogix,gist"
B1445,Door Handle Switch Circuit Short To Ground,"fieldlogix,gist"
B1446,Wiper Park Sense Circuit Failure,"fieldlogix,gist"
B1447,Wiper Park Sense Circuit Open,"fieldlogix,gist"
B1448,Wiper Park Sense Circuit Short To Battery,"fieldlogix,gist"
B1449,Wiper Park Sense Circuit Short To Ground,"fieldlogix,gist"
B1450,Wiper Wash/Delay Switch Circuit Failure,"fieldlogix,gist"
B1451,Wiper Wash/Delay Switch Circuit Open,"fieldlogix,gist"
B1452,Wiper Wash/Delay Switch Circuit Short To Battery,"fieldlogix,gist"
B1453,Wiper Wash/Delay Switch Circuit Short To Ground,"fieldlogix,gist"
B1454,Wiper Washer Fluid Lamp Circuit Failure,"fieldlogix,gist"
B1455,Wiper Washer Fluid Lamp Circuit Open,"fieldlogix,gist"
B1456,Wiper Washer Fluid Lamp Circuit Short To Battery,"fieldlogix,gist"
B1457,Wiper Washer Fluid Lamp Circuit Short To Ground,"fieldlogix,gist"
B1458,Wiper Washer Pump Motor Relay Circuit Failure,"fieldlogix,gist"
B1459,Wiper Washer Pump Motor Relay Coil Circuit Open,"fieldlogix,gist"
B1460,Wiper Washer Pump Motor Relay Coil Circuit Short To Battery,"fieldlogix,gist"
B1461,Wiper Washer Pump Motor Relay Coil Circuit Short To Ground,"fieldlogix,gist"
B1462,Seat Belt Switch Circuit Failure,"fieldlogix,gist"
B1463,Seat Belt Switch Circuit Open,"fieldlogix,gist"
B1464,Seat Belt Switch Circuit Short To Battery,"fieldlogix,gist"
B1465,Wiper Brake/Run Relay Circuit Open,"fieldlogix,gist"
B1466,Wiper Hi/Low Speed Not Switching,"fieldlogix,gist"
B1467,Wiper Hi/Low Speed Circuit Motor Short To Battery,"fieldlogix,gist"
B1468,Chime Input Request Circuit Failure,"fieldlogix,gist"
B1469,Chime Input Request Circuit Open,"fieldlogix,gist"
B1470,Lamp Headlamp Input Circuit Failure,"fieldlogix,gist"
B1471,Lamp Headlamp Input Circuit Open,"fieldlogix,gist"
B1472,Lamp Headlamp Input Circuit Short To Ground,"fieldlogix,gist"
B1473,Wiper Low Speed Circuit Motor Failure,"fieldlogix,gist"
B1474,Battery Saver Power Relay Circuit Short To Battery,"fieldlogix,gist"
B1475,Accessory Delay Relay Contact Short To Battery,"fieldlogix,gist"
B1476,Wiper High Speed Circuit Motor Failure,"fieldlogix,gist"
B1477,Wiper Hi/Low Circuit Motor Short To Ground,"fieldlogix,gist"
B1478,Power Window One Touch Up/Down Activated Simultaneously,"fieldlogix,gist"
B1479,Wiper Washer Fluid Level Sensor Circuit Failure,"fieldlogix,gist"
B1480,Wiper Washer Fluid Level Sensor Circuit Open,"fieldlogix,gist"
B1481,Wiper Washer Fluid Level Sensor Circuit Short To Battery,"fieldlogix,gist"
B1482,Wiper Washer Fluid Level Sensor Circuit Short To Ground,"fieldlogix,gist"
B1483,Brake Pedal Input Circuit Failure,"fieldlogix,gist"
B1484,Brake Pedal Input Open Circuit,"fieldlogix,gist"
B1485,Brake Pedal Input Circuit Battery Short,"fieldlogix,gist"
B1486,Brake Pedal Input Circuit Ground Short,"fieldlogix,gist"
B1487,Door Handle Right Front Circuit Failure,"fieldlogix,gist"
B1488,Door Handle Right Front Circuit Open,"fieldlogix,gist"
B1489,Door Handle Right Front Short To Battery,"fieldlogix,gist"
B1490,Door Handle Right Front Short To Ground,"fieldlogix,gist"
B1491,Ignition Cylinder Sensor Circuit Failure,"fieldlogix,gist"
B1492,Ignition Cylinder Sensor Open Circuit,"fieldlogix,gist"
B1493,Ignition Cylinder Sensor Battery Short,"fieldlogix,gist"
B1494,Ignition Cylinder Sensor Ground Short,"fieldlogix,gist"
B1495,Decklid Punch-Out Sensor Circuit Failure,"fieldlogix,gist"
B1496,Decklid Punch-Out Sensor Open Circuit,"fieldlogix,gist"
B1497,Decklid Punch-Out Sensor Battery Short,"fieldlogix,gist"
B1498,Decklid Punch-Out Sensor Ground Short,"fieldlogix,gist"
B1499,Lamp Turn Signal Left Circuit Failure,"fieldlogix,gist"
B1500,Lamp Turn Signal Left Circuit Open,"fieldlogix,gist"
B1501,Lamp Turn Signal Left Circuit Short To Battery,"fieldlogix,gist"
B1502,Lamp Turn Signal Left Circuit Short To Ground,"fieldlogix,gist"
B1503,Lamp Turn Signal Right Circuit Failure,"fieldlogix,gist"
B1504,Lamp Turn Signal Right Circuit Open,"fieldlogix,gist"
B1505,Lamp Turn Signal Right Circuit Short To Battery,"fieldlogix,gist"
B1506,Lamp Turn Signal Right Circuit Short To Ground,"fieldlogix,gist"
B1507,Flash To Pass Switch Circuit Failure,"fieldlogix,gist"
B1508,Flash To Pass Switch Circuit Open,"fieldlogix,gist"
B1509,Flash To Pass Switch Circuit Short To Battery,"fieldlogix,gist"
B1510,Flash To Pass Switch Circuit Short To Ground,"fieldlogix,gist"
B1511,Driver Door Handle Circuit Failure,"fieldlogix,gist"
B1512,Driver Door Handle Circuit Open,"fieldlogix,gist"
B1513,Driver Door Handle Circuit Short To Battery,"fieldlogix,gist"
B1514,Driver Door Handle Circuit Short To Ground,"fieldlogix,gist"
B1515,Seat Driver Occupied Switch Circuit Failure,"fieldlogix,gist"
B1516,Seat Driver Occupied Switch Circuit Open,"fieldlogix,gist"
B1517,Seat Driver Occupied Switch Circuit Short To Battery,"fieldlogix,gist"
B1518,Seat Driver Occupied Switch Circuit Short To Ground,"fieldlogix,gist"
B1519,Hood Switch Circuit Failure,"fieldlogix,gist"
B1520,Hood Switch Circuit Open,"fieldlogix,gist"
B1521,Hood Switch Circuit Short To Battery,"fieldlogix,gist"
B1522,Hood Switch Circuit Short To Ground,"fieldlogix,gist"
B1523,Keyless Entry Circuit Failure,"fieldlogix,gist"
B1524,Keyless Entry Circuit Open,"fieldlogix,gist"
B1525,Keyless Entry Circuit Short To Battery,"fieldlogix,gist"
B1526,Keyless Entry Circuit Short To Ground,"fieldlogix,gist"
B1527,Memory Set Switch Circuit Failure,"fieldlogix,gist"
B1528,Memory Set Switch Circuit Open,"fieldlogix,gist"
B1529,Memory Set Switch Circuit Short To Battery,"fieldlogix,gist"
B1530,Memory Set Switch Circuit Short To Ground,"fieldlogix,gist"
B1531,Memory 1 Switch Circuit Failure,"fieldlogix,gist"
B1532,Memory 1 Switch Circuit Open,"fieldlogix,gist"
B1533,Memory 1 Switch Circuit Short To Battery,"fieldlogix,gist"
B1534,Memory 1 Switch Circuit Short To Ground,"fieldlogix,gist"
B1535,Memory 2 Switch Circuit Failure,"fieldlogix,gist"
B1536,Memory 2 Switch Circuit Open,"fieldlogix,gist"
B1537,Memory 2 Switch Circuit Short To Battery,"fieldlogix,gist"
B1538,Memory 2 Switch Circuit Short To Ground,"fieldlogix,gist"
B1539,Mirror Driver Switch Assembly Circuit Failure,"fieldlogix,gist"
B1540,Mirror Driver Switch Assembly Circuit Open,"fieldlogix,gist"
B1541,Mirror Driver Switch Assembly Circuit Short To Battery,"fieldlogix,gist"
B1542,Mirror Driver Switch Assembly Circuit Short To Ground,"fieldlogix,gist"
B1543,Seat Direction Switch Assembly Circuit Failure,"fieldlogix,gist"
B1544,Seat Direction Switch Assembly Circuit Open,"fieldlogix,gist"
B1545,Seat Direction Switch Assembly Circuit Short To Battery,"fieldlogix,gist"
B1546,Seat Direction Switch Assembly Circuit Short To Ground,"fieldlogix,gist"
B1547,Power Window Master Circuit Failure,"fieldlogix,gist"
B1548,Power Window Master Circuit Open,"fieldlogix,gist"
B1549,Power Window Master Circuit Short To Battery,"fieldlogix,gist"
B1550,Power Window Master Circuit Short To Ground,"fieldlogix,gist"
B1551,Decklid Release Circuit Failure,"fieldlogix,gist"
B1552,Decklid Release Circuit Open,"fieldlogix,gist"
B1553,Decklid Release Circuit Short To Battery,"fieldlogix,gist"
B1554,Decklid Release Circuit Short To Ground,"fieldlogix,gist"
B1555,Ignition Run/Start Circuit Failure,"fieldlogix,gist"
B1556,Ignition Run/Start Circuit Open,"fieldlogix,gist"
B1557,Ignition Run/Start Circuit Short To Battery,"fieldlogix,gist"
B1558,Ignition Run/Start Circuit Short To Ground,"fieldlogix,gist"
B1559,Door Lock Cylinder Circuit Failure,"fieldlogix,gist"
B1560,Door Lock Cylinder Circuit Open,"fieldlogix,gist"
B1561,Door Lock Cylinder Circuit Short To Battery,"fieldlogix,gist"
B1562,Door Lock Cylinder Circuit Short To Ground,"fieldlogix,gist"
B1563,Door Ajar Circuit Failure,"fieldlogix,gist"
B1564,Door Ajar Circuit Open,"fieldlogix,gist"
B1565,Door Ajar Circuit Short To Battery,"fieldlogix,gist"
B1566,Door Ajar Circuit Short To Ground,"fieldlogix,gist"
B1567,Lamp Headlamp High-Beam Circuit Failure,"fieldlogix,gist"
B1568,Lamp Headlamp High-Beam Circuit Open,"fieldlogix,gist"
B1569,Lamp Headlamp High-Beam Circuit Short To Battery,"fieldlogix,gist"
B1570,Lamp Headlamp High-Beam Circuit Short To Ground,"fieldlogix,gist"
B1571,Door Ajar LR Circuit Failure,"fieldlogix,gist"
B1572,Door Ajar LR Circuit Open,"fieldlogix,gist"
B1573,Door Ajar LR Circuit Short To Battery,"fieldlogix,gist"
B1574,Door Ajar LR Circuit Short To Ground,"fieldlogix,gist"
B1575,Lamp Park Input Circuit Failure,"fieldlogix,gist"
B1576,Lamp Park Input Circuit Open,"fieldlogix,gist"
B1577,Lamp Park Input Circuit Short To Battery,"fieldlogix,gist"
B1578,Lamp Park Input Circuit Short To Ground,"fieldlogix,gist"
B1579,Dim Panel Increase Input Circuit Failure,"fieldlogix,gist"
B1580,Dim Panel Increase Input Circuit Open,"fieldlogix,gist"
B1581,Dim Panel Increase Input Circuit Short To Battery,"fieldlogix,gist"
B1582,Dim Panel Increase Input Circuit Short To Ground,"fieldlogix,gist"
B1583,Dim Panel Decrease Input Circuit Failure,"fieldlogix,gist"
B1584,Dim Panel Decrease Input Circuit Open,"fieldlogix,gist"
B1585,Dim Panel Decrease Input Circuit Short To Battery,"fieldlogix,gist"
B1586,Dim Panel Decrease Input Circuit Short To Ground,"fieldlogix,gist"
B1587,Autolamp Delay Increase Circuit Failure,"fieldlogix,gist"
B1588,Autolamp Delay Increase Circuit Open,"fieldlogix,gist"
B1589,Autolamp Delay Increase Circuit Short To Battery,"fieldlogix,gist"
